,media_red,media_white
fixed acidity,8.31963727329581,6.854787668436097
volatile acidity,0.5278205128205128,0.2782411188240098
citric acid,0.2709756097560976,0.33419150673744386
residual sugar,2.53880550343965,6.391414863209474
chlorides,0.08746654158849282,0.04577235606369947
free sulfur dioxide,15.874921826141339,35.30808493262556
total sulfur dioxide,46.46779237023139,138.36065741118824
density,0.996746679174484,0.9940273764801959
pH,3.311113195747342,3.188266639444671
sulphates,0.6581488430268919,0.489846876276031
alcohol,10.422983114446529,10.5142670477746
quality,5.6360225140712945,5.87790935075541
